VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2018,Own,Whitetail,K,Gewurztraminer,15.74,3,30-Apr-18,2-Jun-18,,35.4,0.1528,,21.1,3.09,8.51,,23-Sep-18,90.697,5.76,
2018,Own,Whitetail,L_Bottom,Riesling,0.75,2,6-May-18,6-Jun-18,,20.7,0.1667,,22.4,2.90,11.69,,1-Nov-18,1.882,2.51,
2018,Own,Whitetail,L_Bottom,Riesling,5.88,5,6-May-18,6-Jun-18,,20.7,0.1817,,,,,,,24.710,4.20,
2018,Own,Whitetail,L_Bottom,Riesling,2.00,5,6-May-18,6-Jun-18,,20.7,0.1817,,,,,,,8.400,4.20,
2018,Own,Whitetail,L_Top,Riesling,3.00,2,5-May-18,4-Jun-18,,21.4,0.1855,,22.1,2.93,11.73,,1-Nov-18,18.796,6.27,
2018,Own,Whitetail,L-Top,Riesling,1.06,1,5-May-18,4-Jun-18,,21.4,0.1546,,22.3,2.95,11.56,,19-Oct-18,5.007,4.72,
2018,Own,Whitetail,M,Riesling,6.64,5,7-May-18,6-Jun-18,,16.9,0.1704,,,,,,,23.230,3.50,
2018,Own,Whitetail,N1,Pinot Blanc,3.19,6,3-May-18,5-Jun-18,,22.8,0.1843,,17.2,2.98,15.08,,11-Sep-18,12.851,4.03,
2018,Own,Whitetail,N2,Vidal,6.37,5,7-May-18,5-Jun-18,,40.9,0.2237,,,,,,,57.350,9.00,
2018,Own,Whitetail,O,Vidal,10.17,3,6-May-18,6-Jun-18,,54.0,0.2377,,21.1,3.04,11.55,,31-Oct-18,94.013,9.24,
2018,Own,Whitetail,P,Pinot Gris,4.38,3,3-May-18,2-Jun-18,,37.9,0.1527,,22.3,3.05,9.60,,26-Sep-18,20.546,4.69,
2018,Grower,Whitetail,OIB,Chardonnay,29.90,3,4-May-18,4-Jun-18,,27.1,0.1430,,22.0,3.03,9.28,,24-Sep-18,104.853,3.51,
2019,Grower,Adega,H,Viognier,2.00,3,,,,,0.2369,,N/A,N/A,N/A,N/A,N/A,0.000,0.00,
2017,Own,Bullpine,G,Merlot,5.48,2,3-May-17,12-Jun-17,19-Aug-17,30.7,0.1975,1.41,24.4,3.01,8.14,1558.6,17-Oct-17,24.519,4.47,
2019,Grower,Adega,J,Cabernet Franc,1.00,3,,,,,0.2067,1.50,N/A,N/A,N/A,N/A,N/A,0.000,0.00,
2019,Grower,Archer,F,Sauvignon Blanc,2.00,3,,,,,0.1684,,22.4,3.03,6.40,1376.6,25-Sep-19,6.880,3.44,
2019,Grower,Archer,G,Shiraz,2.00,3,,,,,0.3066,,21.0,3.10,9.00,1388.2,29-Oct-19,9.230,4.62,
2019,Grower,Aujla,A,Sauvignon Blanc,1.80,3,,,,19.60,0.1437,,19.0,3.10,6.20,1577.6,2-Oct-19,10.210,5.66,
2017,Own,Bullpine,G,Merlot,7.68,2,3-May-17,12-Jun-17,19-Aug-17,30.7,0.1975,1.41,24.4,3.01,8.14,1558.6,17-Oct-17,32.787,4.27,
2017,Own,Bullpine,J,Merlot,8.42,3,3-May-17,11-Jun-17,17-Aug-17,32.1,0.1923,1.26,24.4,3.13,6.15,1552.5,15-Oct-17,34.499,4.10,
2019,Grower,Aujla-Gomes,A,Viognier,0.65,3,,,,,0.2105,1.34,N/A,N/A,N/A,N/A,N/A,0.000,0.00,
2019,Grower,Aujla-Gomes,B,Riesling,2.96,3,,,,42.84,0.1626,1.27,21.1,2.90,8.50,1588.1,25-Oct-19,20.890,7.06,
2017,Own,Bullpine,K,Merlot,7.43,3,3-May-17,12-Jun-17,19-Aug-17,32.6,0.1937,1.18,22.2,3.10,7.26,1522.0,27-Sep-17,32.806,4.42,
2019,Grower,Aujla-Gomes,D,Cabernet Franc,2.01,3,,,,,0.1473,1.21,21.6,3.10,5.90,1588.1,26-Oct-19,7.390,3.68,
2017,Own,Bullpine,K,Merlot,0.73,Premium,3-May-17,12-Jun-17,19-Aug-17,,0.1792,1.08,24.3,3.08,6.55,1560.3,7-Nov-17,2.294,3.14,
2019,Grower,Avila,A,Chardonnay,3.65,3,,,,17.80,0.1291,1.16,22.3,3.29,4.90,1585.3,14-Oct-19,10.900,2.99,
2017,Own,Bullpine,O,Merlot,11.36,3,3-May-17,13-Jun-17,17-Aug-17,28.9,0.1874,1.39,23.8,3.08,7.27,1516.6,26-Sep-17,47.849,4.21,
2019,Grower,Bajwa,B,Pinot Gris,3.31,3,,,,21.07,0.1879,,22.3,3.13,6.10,1391.4,26-Sep-19,27.110,8.19,
2019,Grower,Bakshish,B,Chardonnay,5.60,3,,,,,0.2093,,21.3,3.15,6.90,1585.3,7-Oct-19,18.230,3.26,
2017,Own,Bullpine,U,Merlot,11.21,3,2-May-17,11-Jun-17,19-Aug-17,34.6,0.1619,1.44,22.4,3.02,7.32,1499.5,21-Sep-17,62.559,5.58,
