Larose,Thompson - 2,Malbec,,,,,,,,,,18-Jun,12-Jun,10-Jun,11-Jun,09-Jun,11-Jun,14-Jun,17-Jun,,12-Jun,
Larose,Thompson - 3,Merlot,03-Jun,17-Jun,30-May,30-May,11-Jun,10-Jun,22-Jun,27-Jun,24-Jun,12-Jun,12-Jun,05-Jun,09-Jun,26-Jun,06-Jun,16-Jun,17-Jun,,12-Jun,
Larose,Thompson - 4,Merlot,,,,,,,,,,17-Jun,14-Jun,07-Jun,11-Jun,,12-Jun,18-Jun,19-Jun,,05-Aug,
Larose,Thompson - 5,Merlot,02-Jun,18-Jun,30-May,02-Jun,13-Jun,10-Jun,22-Jun,,29-Jun,15-Jun,15-Jun,06-Jun,11-Jun,11-Jun,12-Jun,15-Jun,20-Jun,,12-Jun,
Larose,Thompson - 6,Merlot,06-Jun,,,,,,,,,,,,,,,,,,06-Jun,
McIntyre,A ,Riesling,07-Jun,,,,,,,,,,,,,,,,,,07-Jun,
McIntyre,B,Pinot Noir,07-Jun,,,,,,,,,,,,,,,,,,07-Jun,
McIntyre,C,Pinot Noir,06-Jun,,,,,,,,,,,,,,,,,,06-Jun,
McIntyre,D,Chenin Blanc,06-Jun,,,,,,,,,,,,,,,,,,06-Jun,
McIntyre,D2,Gewurtztraminer,07-Jun,,,,,,,,,,,,,,,,,,07-Jun,
McIntyre,E,Sauvignon Blanc,06-Jun,10-Jun,23-May,28-May,,05-Jun,20-Jun,21-Jun,17-Jun,06-Jun,16-Jun,08-Jun,07-Jun,30-May,30-May,,,,07-Jun,
McIntyre,F,Sauvignon Blanc,03-Jun,11-Jun,26-May,29-May,,05-Jun,20-Jun,21-Jun,18-Jun,06-Jun,16-Jun,08-Jun,07-Jun,03-Jun,03-Jun,,,,08-Jun,
McIntyre,G,Gewurtztraminer,02-Jun,14-Jun,25-May,31-May,,12-Jun,23-Jun,24-Jun,15-Jun,12-Jun,18-Jun,,10-Jun,,,,,,11-Jun,
McIntyre,H,Pinot Gris,31-May,11-Jun,27-May,28-May,,05-Jun,20-Jun,21-Jun,16-Jun,04-Jun,15-Jun,10-Jun,08-Jun,,,,,,08-Jun,
McIntyre,J,Chardonnay,,10-Jun,26-May,,,05-Jun,18-Jun,,17-Jun,06-Jun,16-Jun,,,,,,,,09-Jun,
McIntyre,K,Petit Verdot,,14-Jun,27-May,,,05-Jun,23-Jun,,15-Jun,12-Jun,18-Jun,,,,,,,,11-Jun,
McIntyre,L,Malbec,04-Jun,10-Jun,25-May,29-May,,05-Jun,20-Jun,22-Jun,18-Jun,07-Jun,16-Jun,,,,,,,,09-Jun,
McIntyre,M,Cabernet Franc,01-Jun,,,,,,,,,,,,,,,,,,01-Jun,
McIntyre,N,Fallow,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
McIntyre,O,Pinot Noir,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
McIntyre,P,Pinot Noir,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
McIntyre,Q,Cabernet Sauvignon,01-Jun,,,,,,,,,,,,,,,,,,01-Jun,
Naramata,A,Merlot,01-Jun,,,,,,,,,,,,,,,,,,01-Jun,
Naramata,B ,Merlot,02-Jun,,,,,,,,,,,,,,,,,,02-Jun,
Naramata,C,Malbec,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
Naramata,D,Cabernet Franc,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
Naramata,E,Petit Verdot,04-Jun,,,,,,,,,,,,,,,,,,04-Jun,
Naramata,F,Cabernet Sauvignon,03-Jun,,,,,,,,,,,,,,,,,,03-Jun,
